"slug","idx","url","price","note","saved_at"
"04_badges","1","https://www.bholder.ru/izgotovlenie-bejdzhej/bejdzhi-dlya-meropriyatij","47","пластиковый бейдж с лентой, цена за шт при 300+","2026-06-18 10:28:53 +03:00"
"04_badges","2","https://www.badgeshop.ru/catalog/materials/plastic/","42","пластиковый бейдж 90x60, цена за шт","2026-06-18 10:28:53 +03:00"
"04_badges","3","https://shnurok.ru/product/plastikovyy-beydzh-razmerom-90x60mm/","39","пластиковый бейдж 90x60, цена за шт при 300","2026-06-18 10:28:53 +03:00"
