"slug","idx","url","price","note","saved_at"
"05_notebooks_pens","1","https://www.adverti.ru/diary/notebooks/sort_product-bloknot_s_ruchkoj/","466.95","блокнот А5 Toledo M с ручкой, цена за комплект","2026-06-18 10:28:53 +03:00"
"05_notebooks_pens","2","https://prstyle.ru/catalog/ezhednevniki-i-planingi/bloknoty-s-ruchkoy/","454.33","блокнот с ручкой А5 Write and stick, цена за комплект","2026-06-18 10:28:53 +03:00"
"05_notebooks_pens","3","https://www.adverti.ru/diary/notebooks/sort_product-bloknot_s_ruchkoj/","521","блокнот с ручкой Makron A5, цена за комплект","2026-06-18 10:28:53 +03:00"
