"slug","idx","url","price","note","saved_at"
"02_speakers","1","https://profiprazdnik.ru/catalog/arenda-zvuka/","9000","Mackie SRM 450, 3000 руб/сут, 3 дня","2026-06-18 10:28:53 +03:00"
"02_speakers","2","https://www.mistervo.ru/catalog/arenda_zvuka/arenda-zvukovogo-oborudovaniya-v-moskve/arenda-qsc-k12.2.html","10500","QSC K12.2, 3500 руб/сут, 3 дня","2026-06-18 10:28:53 +03:00"
"02_speakers","3","https://www.rentalservice.moscow/prokat/zvukovoe-oborudovanie/aktivnie-sistemi","9375","активная акустическая система, 3125 руб/сут, 3 дня","2026-06-18 10:28:53 +03:00"
