"slug","idx","url","price","note","saved_at"
"06_posters_a1","1","https://moscowyard.ru/shirokoformatnaya-pechat/pechat-plakaty-a1","198","плакат А1, цена за шт","2026-06-18 10:28:53 +03:00"
"06_posters_a1","2","https://tprint.ru/pechat-plakatov-a1/","250","плакат А1 обычная бумага, цена за шт","2026-06-18 10:28:53 +03:00"
"06_posters_a1","3","https://pappermint.ru/plakati-pechat/a1","199","плакат А1, 10 шт к оплате 1990, цена за шт","2026-06-18 10:28:53 +03:00"
